id,created_at,sampled_at,name,screen_name,description,statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,banner_url,verified
1.51E+18,2022-04-11 04:22:11+00:00,2022-09-25 02:32:00+00:00,peanut.select 🤍 ปิดพรี roseinc วันนี้ สี่ทุ่ม,PeanutPreorder,˚✿ Selected cosmetic & skincare | Authentic 100% | instock & pre 3-4 weeks | Order line 👉🏻 https://t.co/VijklH2T6q 🧸✧ | ดูสินค้า #peanutรับพรี | #peanutอัพเดท,923,1856,15,1,3,TRUE,https://pbs.twimg.com/profile_banners/1513371770677772288/1655258426,FALSE
1.57E+18,2022-09-26 01:58:48+00:00,2022-09-25 02:32:00+00:00,Naomi Smith,NaomiSm70107819,احب المتااجر #السعوديه,304,0,0,0,0,TRUE,N/A,FALSE
1.45E+18,2021-10-24 01:19:38+00:00,2022-09-25 02:32:00+00:00,ห๊ะอะไรน๊ะ🤣🤣,1115Phirakan,อะไรครับเนี่ย55555,6608,256,1942,12361,0,TRUE,N/A,FALSE
7.46E+17,2016-06-23 20:11:52+00:00,2022-09-25 02:32:00+00:00,heart-warming sweet potato ball,NAMlKAZEMINATO,taire - he/they - 26 - former florida man - ❄️🐯 era,51158,193,287,9894,3,FALSE,https://pbs.twimg.com/profile_banners/746073305459855361/1599193687,FALSE
9.58E+17,2018-01-30 05:46:11+00:00,2022-09-25 02:32:00+00:00,goddess🪴,843BRAT_,$$$🦋..12💞…THE LEO ♌… Nail guru 💕🎍,22931,2778,4476,3407,0,FALSE,https://pbs.twimg.com/profile_banners/958214738512633856/1663188076,FALSE
1.50E+18,2022-03-11 16:07:58+00:00,2022-09-25 02:32:00+00:00,Kamalavati Paradhi🇮🇳,KamalavatiPara3,beautiful thoughts,10607,48,73,14823,0,TRUE,https://pbs.twimg.com/profile_banners/1502315294743662599/1654958191,FALSE
1.51E+18,2022-03-27 14:18:14+00:00,2022-09-25 02:32:00+00:00,Rig,Rig1024,INIAD (6th)／🍿 身内ノリ自衛求／ fes／❥❥Bro @apathy_iniad @rinrinatype Sis @shiba_nuuu Cou @Tommy_iniad,55744,432,434,41528,19,TRUE,https://pbs.twimg.com/profile_banners/1508085952106835971/1649994323,FALSE
1.00E+18,2018-06-03 07:01:19+00:00,2022-09-25 02:32:00+00:00,ɴᴀᴅᴅᴅᴅ. 🍌,_nqnadd,♔ᴘᴜɴ ♡ ᴊᴇɴɴɪs♔ ♔ᴡᴇᴇ♔ |ʙɴᴋ☆ᴠʏʀᴀ| ᴘʏɴ♡̷̷̷ ♡ᴘᴊɴ♡ᴡғ♡ᴘᴀᴇʏᴀʜ♡ ʏᴏᴜ ᴀʀᴇ ɴᴏᴛ ᴀʟᴏɴᴇ ᴘᴊɴ ·͜·♡ ★ ᴊᴀɴɴɪᴇʀᴜʙʏᴊᴀɴᴇ ★ 제니 ❀,165975,540,178,45526,0,TRUE,https://pbs.twimg.com/profile_banners/1003169741828120576/1659187789,FALSE
2320121874,2014-01-31 02:57:40+00:00,2022-09-25 02:32:00+00:00,karen,kkrencita,,7895,108,62,53740,0,FALSE,https://pbs.twimg.com/profile_banners/2320121874/1632524152,FALSE
1.53E+18,2022-05-30 05:27:21+00:00,2022-09-25 02:32:00+00:00,タカハシトモカツ,jILpwLA6utOGrUo,,12157,269,277,7030,4,TRUE,N/A,FALSE
1.03E+18,2018-08-20 18:24:53+00:00,2022-09-25 02:32:00+00:00,paulina,pauliibertello,https://t.co/5LqWc47ivt 🐔❤️,6667,358,158,5730,0,TRUE,https://pbs.twimg.com/profile_banners/1031608021078732800/1630342787,FALSE
1.03E+18,2018-08-18 01:47:24+00:00,2022-09-25 02:32:00+00:00,kullaya,kullaya93706148,,95930,197,309,90319,1,TRUE,N/A,FALSE
443513687,2011-12-22 07:46:40+00:00,2022-09-25 02:32:00+00:00,Rendham,rendydhamara,live only one time let's enjoy,23948,206,94,14,1,FALSE,https://pbs.twimg.com/profile_banners/443513687/1641432919,FALSE
1.57E+18,2022-09-15 20:59:06+00:00,2022-09-25 02:32:00+00:00,Hayriye Çetin,Hayriye37886062,,349,29,32,348,0,TRUE,N/A,FALSE
1.05E+18,2018-10-05 19:22:05+00:00,2022-09-25 02:32:00+00:00,"🐈Keigo ""Kit"" Takami, Feral Twink🏳️‍🌈",StrayTalons,"🐈""If you could only see the beast you made of me~""🦅

""Nomu AU"" Hawks.
Writer is 28, Minors DNI.
No sudden DMs!
LEWD STUDENTS DNI
Pfp: @mementomoli_",169472,248,388,13229,19,FALSE,https://pbs.twimg.com/profile_banners/1048292258351656960/1600392100,FALSE
296595746,2011-05-11 02:14:37+00:00,2022-09-25 02:32:00+00:00,Drakmer :v,Drakmer1,Another human being. Hello...,27381,146,900,71995,9,FALSE,https://pbs.twimg.com/profile_banners/296595746/1540803459,FALSE
1.51E+18,2022-04-14 23:59:44+00:00,2022-09-25 02:32:00+00:00,Soria Trujillo Boris,Xern991,"100% 🇨🇺, amigo de la verdad y la justicia. Revolucionario, Martiano, Fidelista, Ecologista, soñador y Comunista por defecto.🇨🇺",23309,2479,3474,32587,3,TRUE,https://pbs.twimg.com/profile_banners/1514754892136693760/1664044704,FALSE
1.31E+18,2020-10-09 00:50:44+00:00,2022-09-25 02:32:00+00:00,dior🪷,aguafresca666,17,18779,63,513,21265,0,TRUE,https://pbs.twimg.com/profile_banners/1314367604455354371/1663324364,FALSE
1.57E+18,2022-09-26 01:59:15+00:00,2022-09-25 02:32:00+00:00,John Li,JohnLi42196476,احب المتااجر #السعوديه,210,0,0,0,0,TRUE,N/A,FALSE
1.32E+18,2020-11-02 14:11:33+00:00,2022-09-25 02:32:00+00:00,FXニュース 🇯🇵ドル円・ユーロ円・ポンド円・ユーロドル・ポンドドル 🇺🇸　@相互フォロー,fx_investment_8,"レバレッジ888倍・追証無しのXMTrading
口座開設はこちらから → https://t.co/1Hi3vTraU1
※口座開設するとトレードに使用出来る3,000円ボーナスが受け取れます！",337664,10872,11470,68,11,TRUE,https://pbs.twimg.com/profile_banners/1323266482411761665/1639146843,FALSE
1.51E+18,2022-03-22 01:26:52+00:00,2022-09-25 02:32:00+00:00,Kula✨💖💕,KuraDaiamondo,🇲🇽//21//Videojuegos//Anime//Kpop//Rolplay//@bartz_klausier 💕//NSFW🔥//+18// side:@KuraDiamond,5564,771,393,8308,15,TRUE,https://pbs.twimg.com/profile_banners/1506079388823134210/1657051199,FALSE
1.43E+18,2021-09-03 15:21:02+00:00,2022-09-25 02:32:00+00:00,Wawas G,g_wawas,Video maker,462,37,77,346,0,TRUE,N/A,FALSE
1.57E+18,2022-09-26 01:58:28+00:00,2022-09-25 02:32:00+00:00,Stephanie Calderon,Stephan72763617,احب المتااجر #السعوديه,248,0,0,0,0,TRUE,N/A,FALSE
1.47E+18,2021-12-10 07:03:55+00:00,2022-09-25 02:32:00+00:00,【公式】勝利の女神：NIKKE＠事前登録受付中！,NIKKE_japan,"背中で魅せるガンガールRPG「勝利の女神：NIKKE」の公式アカウントです。
運営よりゲームの最新情報をお届けします✨

現在事前登録受付中！！

iOS/Android事前登録はこちら：https://t.co/BhskmQo2u6
公式Discordサーバー：https://t.co/aoWkLMSJui",341,170765,2,24,526,TRUE,https://pbs.twimg.com/profile_banners/1469201146418184192/1662508372,TRUE
7.15E+17,2016-03-30 06:15:51+00:00,2022-09-25 02:32:00+00:00,🏳️‍⚧️🖤Local_Trash_Goth🖤🏳️‍⚧️,LocalTrashGoth,"She/They, Transgender🏳️‍⚧️, Genderfluid, Pansexual. 
I like Gaming, D&D, and a very laid back goth aesthetic.",80223,70,563,141162,0,TRUE,https://pbs.twimg.com/profile_banners/715059945834680321/1611655674,FALSE
1.57E+18,2022-09-24 22:46:38+00:00,2022-09-25 02:32:00+00:00,blue_cherry,blue_cherry1100,"دنیا مثل آینه است... 
اگر زیبایی میخوای، زیبا بایست جلوی آینه!",1000,6,9,1238,0,TRUE,https://pbs.twimg.com/profile_banners/1573806063643770881/1664060788,FALSE
1.56E+18,2022-08-29 05:26:01+00:00,2022-09-25 02:32:00+00:00,Belma Gezgin,BelmaGezgin,,215,191,1,215,0,TRUE,N/A,FALSE
9.44E+17,2017-12-21 14:47:21+00:00,2022-09-25 02:32:00+00:00,exrn.xarn🤍,earnyjungg,🥲✌🏻 ot23,38312,18,169,24506,0,TRUE,https://pbs.twimg.com/profile_banners/943855413627203585/1633206186,FALSE
7.97E+17,2016-11-10 12:19:59+00:00,2022-09-25 02:32:00+00:00,換気扇∀@肉球新党,kazetooshiyoku,左よりだ？言いたきゃ言ってろ。 オッちゃんはな、ROCKし続けてるだけなんだよ。,278831,401,179,8330,7,TRUE,https://pbs.twimg.com/profile_banners/796688855273390080/1574870906,FALSE
8.29E+17,2017-02-08 13:54:50+00:00,2022-09-25 02:32:00+00:00,r,cruelnormani,hater by nature,1922,135,124,5799,1,TRUE,https://pbs.twimg.com/profile_banners/829327634203025409/1657343324,FALSE
1.30E+18,2020-08-31 00:49:21+00:00,2022-09-25 02:32:00+00:00,Tài Thanh 🍌🍌,phamnhat959691,"Bi Men slim 16cm
 18+ 🔞🔞🔞",2686,577,4889,4816,1,TRUE,https://pbs.twimg.com/profile_banners/1300234131717025792/1664070643,FALSE
1.56E+18,2022-08-07 22:09:01+00:00,2022-09-25 02:32:00+00:00,queennation_3,queennation_3,"Male Admin

New page used to show love and support to all you amazing Queens

page model @sparkletoes513",2297,236,785,2111,0,TRUE,https://pbs.twimg.com/profile_banners/1556402004599218176/1659910832,FALSE
1.04E+18,2018-09-19 16:33:22+00:00,2022-09-25 02:32:00+00:00,Mohamed Rayyan,Mohamed_Rayyan7,🇲🇻 x 🇲🇾 ¡halamadrid!,6711,75,214,15085,0,TRUE,https://pbs.twimg.com/profile_banners/1042451592601980928/1653813562,FALSE
66835447,2009-08-18 23:16:53+00:00,2022-09-25 02:32:00+00:00,Faith Zaid,faithzp1,"Trained mediator, loves travel, peace, hates discrimination, unfair bad behavior. Many interests from politics to TV(reality & otherwise).",72682,1481,3978,92913,28,FALSE,N/A,FALSE
1.45E+18,2021-10-28 17:39:40+00:00,2022-09-25 02:32:00+00:00,sana ☾,harveytitface,Marvel | Dc | Comics • #CassianAndor,8546,1093,913,26317,3,TRUE,https://pbs.twimg.com/profile_banners/1453778437777203208/1664085066,FALSE
9.50E+17,2018-01-07 05:50:14+00:00,2022-09-25 02:32:00+00:00,三毛猫しまっちゃうおじさん2号,barter_barakan,H31/2/筒香光昭の世界ネコ歩きから改名、H30/3/6に旧名「バーターピラカン」から改名/(*^◯^*)/洋楽/昭和歌謡/梶芽衣子/BL/ミステリ/ホラー/猫/フィギュアスケート/仏教/競馬/カラオケ/ブクログ/イクエ・モリの従弟　　 https://t.co/Mi1koMtwod,73788,1045,5001,177326,7,FALSE,https://pbs.twimg.com/profile_banners/949880837390004225/1603888349,FALSE
7.50E+17,2016-07-03 15:53:58+00:00,2022-09-25 02:32:00+00:00,ฉันเกิดในประเทศเฮงซวย,ppttpp9889,ขอเป็นทาสแมวทุกชาติไป,3999,6,599,7555,0,TRUE,https://pbs.twimg.com/profile_banners/749632281828921345/1600735855,FALSE
1.54E+18,2022-06-11 06:05:37+00:00,2022-09-25 02:32:00+00:00,あいは🤣💗🌻,nein_vina,大学1年生🥞二人きりでラブラブギューしたいｗ😎えちいは○撮りとか観れるアプリ→https://t.co/WgqzNtX4h9,2080,0,3,0,0,TRUE,N/A,FALSE
1.27E+18,2020-06-15 02:21:09+00:00,2022-09-25 02:32:00+00:00,𝓒𝓸𝓻𝓪𝓵 💙 was BORN PINK,rosies_are_gay,𝓒𝓸𝓻𝓪𝓵 💙 • 🏳️‍🌈 • 𝐎𝐓𝟒🖤💗 • 𝙢𝙪𝙡𝙩𝙞,4018,691,987,7374,3,TRUE,https://pbs.twimg.com/profile_banners/1272353063353946112/1661048961,FALSE
1.57E+18,2022-09-20 14:02:31+00:00,2022-09-25 02:32:00+00:00,Crıstı Jankauskas,cr_jankauskas,sende kal,1058,29,31,607,0,TRUE,N/A,FALSE
1.57E+18,2022-09-20 13:59:03+00:00,2022-09-25 02:32:00+00:00,Junıe Montıjano,MontJano,olsun giderim,1054,30,29,606,0,TRUE,N/A,FALSE
1.24E+18,2020-03-18 13:13:09+00:00,2022-09-25 02:32:00+00:00,Selena’s Publicist📸📸📸,spillmez,Idc if you're mad but I mean as long as you're here “hi bxtch” Fan account| Not impersonating or affiliated with any celebrities.,3375,281,241,5820,1,TRUE,https://pbs.twimg.com/profile_banners/1240264882349580293/1650041557,FALSE
349854037,2011-08-06 20:21:54+00:00,2022-09-25 02:32:00+00:00,مركـز مسـاج فـي جـدة | الـرياض منزلي فندقي,mmhasssan,"مركز مساج منزلي فندقي في جدة الرياض
مختصين من فلبينين ممتازين وخبرة في مجال المساج 
للتواصل والاستفسار عبر الرابط المباشر 
https://t.co/WbhM3QJTZO
https://t.co/WbhM3QJTZO",17076,1,5,0,0,TRUE,N/A,FALSE
8.44E+17,2017-03-20 20:43:40+00:00,2022-09-25 02:32:00+00:00,August West,SpeFuturi,,105,1,38,24,0,TRUE,N/A,FALSE
1.43E+18,2021-08-14 02:45:14+00:00,2022-09-25 02:32:00+00:00,happiest,trejodulu,"pelarian kalo udah cape, anjing kok harus ada proposal-skripsi sih di dunia ini😭😭",33317,14,107,1615,0,TRUE,https://pbs.twimg.com/profile_banners/1426374257739657221/1648273082,FALSE
1.57E+18,2022-09-21 01:11:16+00:00,2022-09-25 02:32:00+00:00,lana' TEM UMA NAMORADA,beombeomdass,I love my boys: @enhypen_members @txt_members @stray_kids ♡,354,112,262,383,0,TRUE,https://pbs.twimg.com/profile_banners/1572392932581187588/1663728762,FALSE
1.35E+18,2021-01-24 14:41:39+00:00,2022-09-25 02:32:00+00:00,lovecomesquickly,lovecomesquick,,13758,138,3365,16969,1,TRUE,N/A,FALSE
361776369,2011-08-25 09:36:45+00:00,2022-09-25 02:32:00+00:00,아흐나래 (헤더구경하고가세요),naraenine,헤더 @ zzol_cms님 커미션 / 많이보면 우리딸래미 닳으니까 한번만 보고가셈,445790,410,483,119973,16,TRUE,https://pbs.twimg.com/profile_banners/361776369/1662884627,FALSE
3009577484,2015-02-05 00:50:13+00:00,2022-09-25 02:32:00+00:00,いちごちゃん😎ヒカセイ情報,ichigo_hikakin,ヒカキンさん、セイキンさんに関する最新情報を呟いてるファンによる非公式アカ🌠ほとんど情報以外の呟きはしないので【フォロー＆通知オン】にしておくと見逃しにくくなりますよ👍✨心ない言葉を言われても皆のイイネ数がある限り更新がんばろって思えます☺モデレーターしてる為DMの返信など遅れがちです。ご了承下さい🙇@4zLE0,7618,278,582,12017,8,TRUE,https://pbs.twimg.com/profile_banners/3009577484/1664088069,FALSE
1.29E+18,2020-08-12 05:09:22+00:00,2022-09-25 02:32:00+00:00,Goth Money Record$//Noelle,GothmoneyNoelle,Fauci’s strongest soldier,2662,256,609,46307,0,TRUE,https://pbs.twimg.com/profile_banners/1293414127508037635/1650483139,FALSE
1.57E+18,2022-09-21 00:27:16+00:00,2022-09-25 02:32:00+00:00,Ayşe İner Köksal,AyenerKksal5,,1061,28,32,1015,0,TRUE,N/A,FALSE
1.55E+18,2022-07-20 16:43:05+00:00,2022-09-25 02:32:00+00:00,xnxss,xnxss1,,99,7,103,70,0,TRUE,N/A,FALSE
2150286715,2013-10-23 05:20:49+00:00,2022-09-25 02:32:00+00:00,Bala ji BJP,balajiashokraj,,63254,381,269,94031,0,TRUE,N/A,FALSE
1.57E+18,2022-09-23 14:21:45+00:00,2022-09-25 02:32:00+00:00,?,focussedonmy,Tengo sueño,6,5,25,230,0,TRUE,https://pbs.twimg.com/profile_banners/1573316515532791808/1663943431,FALSE
1.25E+18,2020-04-09 01:14:13+00:00,2022-09-25 02:32:00+00:00,みるくる☀︎最高の日🐥𓂃◌𓈒𓐍,hina_milk777,👧🏻👦🏻の母✨コスメ/ゲーム/🍜/海/🎰/カラコン/ポケカ/🚤/釣り/新作試すの大好き！企業様に感謝♡🙇‍♀️#うんバサダー💩 #みるくるメイク #もぐもぐみるくる #みるくるキッズ インスタ✍︎ milk_1122117 🚤🦁fam 敬語いらないよ🐾みるくるって呼んでねん🙌,266726,17388,17717,28577,39,TRUE,https://pbs.twimg.com/profile_banners/1248056555297095680/1645369096,FALSE
559169744,2012-04-21 03:46:16+00:00,2022-09-25 02:32:00+00:00,黒野良,96noraBeat,,127223,397,1891,88409,14,TRUE,https://pbs.twimg.com/profile_banners/559169744/1617290033,FALSE
1.05E+18,2018-10-20 18:13:23+00:00,2022-09-25 02:32:00+00:00,Reginaldo,Reginal74215171,,1226,2,8,133,0,TRUE,N/A,FALSE
1.25E+18,2020-04-15 02:01:06+00:00,2022-09-25 02:32:00+00:00,Mani😽,mani_dabratt_,ig:manibbaabbyy #su25,4195,570,391,8700,0,TRUE,https://pbs.twimg.com/profile_banners/1250242669776908290/1651440091,FALSE
1.54E+18,2022-06-26 18:50:12+00:00,2022-09-25 02:32:00+00:00,Akira,Akikir4,🎸🎶,22,34,53,11,0,TRUE,https://pbs.twimg.com/profile_banners/1541131465538371585/1663177591,FALSE
1.56E+18,2022-08-28 17:15:18+00:00,2022-09-25 02:32:00+00:00,𝐇.,jeonspiderx,͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏͏ ͏ ͏ ͏ ͏ ͏ ͏   ͏ ͏ ͏ ͏ ͏ ͏  ͏ ͏ ͏ ͏   ͏ ͏ ͏ ͏  ͏͏ ͏ ͏ ͏  ͏𝐀quarius.,1774,238,227,888,2,TRUE,https://pbs.twimg.com/profile_banners/1563938243980263424/1661714950,FALSE
1.11E+18,2019-03-17 02:34:29+00:00,2022-09-25 02:32:00+00:00,Ross~|| CitlaliDay -2🎂✨,SeokRoss,🌸Mod de @MaffyRocha & @MissaSinfonia 🌸|| Side: @BlinkingGame_ 🔗|| He/Him♣  ||Owner de @EdncGaming 🎮||,2989,287,804,32868,0,TRUE,https://pbs.twimg.com/profile_banners/1107107910335623169/1649023182,FALSE
1.57E+18,2022-09-23 04:51:35+00:00,2022-09-25 02:32:00+00:00,HÜHET,zgl90681421,Baya baya gideceğim günler gelecek bu şehirden.,812,19,22,1030,0,TRUE,N/A,FALSE
1.10E+18,2019-02-28 16:29:29+00:00,2022-09-25 02:32:00+00:00,Bilal Sheikh,BilalSh25822186,,2255,39,482,14981,0,TRUE,https://pbs.twimg.com/profile_banners/1101157451624337408/1551371759,FALSE
1.09E+18,2019-01-30 05:02:35+00:00,2022-09-25 02:32:00+00:00,KDH.,dpehyun,"Illusory, An all-rounder artist named Kang Daehyun. (2003) https://t.co/5UrAVx5CZE",23324,380,244,1476,15,TRUE,https://pbs.twimg.com/profile_banners/1090475338293948416/1664112079,FALSE
1.54E+18,2022-07-01 23:54:57+00:00,2022-09-25 02:32:00+00:00,Lala ★,iSXLALIKG,#edtwt ‹з   ;  ⭒˚.  ࣪ gw: 48kg / ugw: 44kg  ࣪  * ˖ ˚,826,225,155,3771,0,TRUE,https://pbs.twimg.com/profile_banners/1543020262190366721/1656720022,FALSE
1.37E+18,2021-03-11 01:11:53+00:00,2022-09-25 02:32:00+00:00,VOTE for Jimin 🐣,KingJiminJimin,haters gonna hate 💋,9013,27,92,122836,0,TRUE,https://pbs.twimg.com/profile_banners/1369818283688353794/1656785537,FALSE
9.17E+17,2017-10-07 07:20:49+00:00,2022-09-25 02:32:00+00:00,kazhou,kazhou358,更年期真っ只中の引きこもり主婦,1706,10,78,4538,0,TRUE,https://pbs.twimg.com/profile_banners/916563949956370432/1659947880,FALSE
1.57E+18,2022-09-21 05:29:38+00:00,2022-09-25 02:32:00+00:00,Mehmet Akif Altuna,AkifAltuna,,1040,29,32,448,0,TRUE,N/A,FALSE
2854157107,2014-10-13 08:43:48+00:00,2022-09-25 02:32:00+00:00,My dear God 1,God_is_15,"💝Dear God

 Shah satnam green s welfare force member.
naam jaam team mamber 
itwing",68150,2699,573,3910,7,FALSE,https://pbs.twimg.com/profile_banners/2854157107/1529346146,FALSE
1.10E+18,2019-02-21 05:16:33+00:00,2022-09-25 02:32:00+00:00,nacho_bcs,nachito_bcs,#NAME?,1042,72,231,112386,0,TRUE,https://pbs.twimg.com/profile_banners/1098451385497108482/1633724659,FALSE
1.56E+18,2022-08-10 21:24:57+00:00,2022-09-25 02:32:00+00:00,Lu • out,bigbunlu,en- | rps 🦊🐧 | reading & kalat acc | non-rps & minors dni,6201,87,227,23927,0,TRUE,https://pbs.twimg.com/profile_banners/1557478070503612423/1663952937,FALSE
7.76E+17,2016-09-13 20:04:57+00:00,2022-09-25 02:32:00+00:00,luli💖,luliibarbato,"la vida me enseñó la música,la música me enseñó a vivir🤞🏻//Futura Psicóloga UBA🧠//Acompañante terapéutica//Leer te lleva a la sabiduría📖//Violinista🎻//20",22188,229,176,31480,0,TRUE,https://pbs.twimg.com/profile_banners/775787369664512000/1658631685,FALSE
1.07E+18,2018-12-07 08:37:58+00:00,2022-09-25 02:32:00+00:00,原神（Genshin）公式,Genshin_7,PS5・PS4・iOS・Android・PC向けオープンワールドRPG『原神』公式Twitterアカウントです。最新情報をツイートします！ #原神 #Genshin #HoYoverse,2133173,2519172,30,179,9688,TRUE,https://pbs.twimg.com/profile_banners/1070960596357509121/1661494864,TRUE
1.47E+18,2021-12-07 06:34:21+00:00,2022-09-25 02:32:00+00:00,♡,clairedelunana,"Jaemin dulu, Jaemin lagi, Jaemin terus, Jaemin semua, pokoknya #JAEMIN ❥ SSM player ❥ also sbt tapi banyak mainnya",1333,59,115,348,0,TRUE,https://pbs.twimg.com/profile_banners/1468106562208075783/1656584469,FALSE
1.57E+18,2022-09-26 01:59:03+00:00,2022-09-25 02:32:00+00:00,Richard Zahler,zahler_richard,احب المتااجر #السعوديه,310,0,0,0,0,TRUE,N/A,FALSE
1.37E+18,2021-03-14 12:09:05+00:00,2022-09-25 02:32:00+00:00,Kajal,KajalJ13,,30492,708,1497,23176,0,TRUE,https://pbs.twimg.com/profile_banners/1371070772001828865/1622748685,FALSE
1.57E+18,2022-09-20 20:02:27+00:00,2022-09-25 02:32:00+00:00,Süreyya Alpaycı,AlpaycSureyya,,1070,28,31,1019,0,TRUE,N/A,FALSE
1.57E+18,2022-09-23 01:55:49+00:00,2022-09-25 02:32:00+00:00,KİNER,GulbinAlageyik,"Bir konu hakkında şüpheli karara varmak hatalı, kesin karar ise gülünç olur.",821,20,27,1014,0,TRUE,N/A,FALSE
28532753,2009-04-03 09:30:45+00:00,2022-09-25 02:32:00+00:00,Possum,Steampossum,"I can't believe I ate the whole thing  • 30 • They/Them •
My art can be found at @whoopcackleart • pfp 🎨: @beuenappetit",43942,649,486,4785,15,TRUE,N/A,FALSE
1.10E+18,2019-02-18 14:17:18+00:00,2022-09-25 02:32:00+00:00,يارب مروان يخش صيدله,marwanelsaman14,خمسه,805,320,285,2377,0,TRUE,https://pbs.twimg.com/profile_banners/1097500305837707264/1663223124,FALSE
1.46E+18,2021-11-16 08:29:07+00:00,2022-09-25 02:32:00+00:00,13%,JIJONG22,ไว้ตามทีเร้ก | ไว้ปล่อยของสะสม มีแอคหลัก ขอดูได้! |,445,8,53,394,0,TRUE,https://pbs.twimg.com/profile_banners/1460525231194312706/1653223125,FALSE
1.27E+18,2020-05-29 13:58:59+00:00,2022-09-25 02:32:00+00:00,Scorpio’s Groove,4everErnest86,"Cool, calm, and collected dude from the (D)MV. #IAmMore #TeamBrandy #TeamReal #Solodolo #Scorpio #TeamLove #MakeMoneyMoves",13228,535,546,10710,4,TRUE,https://pbs.twimg.com/profile_banners/1266368402098016257/1660359007,FALSE
1.09E+18,2019-01-17 07:57:13+00:00,2022-09-25 02:32:00+00:00,🏁 𝐟𝐨𝐫𝐣𝐚𝐲 ㅡ 질주¹²⁷ 🏎💨,npxjay_,우리칠🍮 | #NCT127 squad | #JAEHYUN #TAEYONG,43579,60,124,1017,0,FALSE,https://pbs.twimg.com/profile_banners/1085808241798393856/1653873458,FALSE
9.80E+17,2018-03-31 17:02:14+00:00,2022-09-25 02:32:00+00:00,🐙Marques🐙@HIATUS (again)!!!,Himarsaka,"Marques | 22 | He/Him | Black 🇧🇸 | Art+Blk edits | Pkmn & Zelda | SMT/Persona | ToAru | Fire Emblem, Danganronpa, Touhou | Art only: @himarsaka_arts",121133,711,1086,178215,13,FALSE,https://pbs.twimg.com/profile_banners/980128146627448832/1662165910,FALSE
1.57E+18,2022-09-21 05:41:01+00:00,2022-09-25 02:32:00+00:00,Ufuk İpek,Ufukpek20,,1032,29,29,442,0,TRUE,N/A,FALSE
1.41E+18,2021-07-02 13:22:45+00:00,2022-09-25 02:32:00+00:00,Lil bunny,Lil_Bunny_fufu,,157,11,62,503,0,TRUE,https://pbs.twimg.com/profile_banners/1410952033776062465/1629667217,FALSE
